Vibration_Accel_X,Vibration_Accel_Y,Vibration_Accel_Z,Vibration_Envelope,Shaft_RPM,Motor_Current_PhaseA,Motor_Current_PhaseB,Motor_Current_PhaseC,Motor_Voltage_RMS,Pump_Discharge_Pressure,RUL
0.9656895,0.6011657,0.7283748,0.8943885,-0.23168796,0.6642982,1.1082771,-0.7185546,-0.6941146,0.7133511,89.52893
-0.46897715,-0.5976381,-0.8886286,-0.5136152,-0.32112575,-0.61087674,-0.9556707,0.5992661,1.1690758,-0.36749786,89.31175
0.7494787,1.0469764,0.72828907,-1.1584623,1.0381721,0.8150883,0.0035661045,0.49970955,-0.37496224,-0.8697021,86.47349
0.8041419,-0.74811274,0.7312004,0.90932524,-0.041191287,0.68368506,-0.3636765,0.7837848,-0.6497482,-0.24576917,89.42394
0.22433324,0.30413866,0.70918703,-0.48483878,-0.11139283,0.56301206,1.0377687,0.64831185,1.1372799,0.9126984,92.5293
1.0808922,-1.0532544,1.0555967,-0.06116566,-0.41910648,-0.016307557,0.73817205,0.8133404,-1.0848771,-0.84458476,92.69021
0.84569144,-0.40001887,0.32374308,-0.66599995,-0.7202941,0.17734005,-0.8988203,0.92803824,-0.11635707,-0.12074996,86.97003
0.050842553,0.58007985,-0.4951164,-0.5092873,-0.2693922,-0.67517275,1.115882,-0.239542,0.6344211,-0.6396597,83.18547
-0.16469511,-0.97888106,1.2739524,0.521004,-0.39802358,0.72657776,-0.49548328,-0.8870621,-1.1548699,-0.7423467,87.60196
-0.43464288,-0.5791297,-0.5321098,-0.31946847,-0.8931068,0.025973955,-1.1997906,-0.386065,-0.43500537,-0.78122365,83.57112
