Vibration_Accel_X,Vibration_Accel_Y,Vibration_Accel_Z,Vibration_Envelope,Shaft_RPM,Motor_Current_PhaseA,Motor_Current_PhaseB,Motor_Current_PhaseC,Motor_Voltage_RMS,Pump_Discharge_Pressure,RUL
-0.3634908,0.95028484,1.4771577,-0.493538,-0.8137364,-0.14320748,-0.88657284,0.18612118,-0.85921884,0.9991922,74.60041
0.67857236,0.6997144,-0.13027048,1.131681,-0.585145,0.39170408,-0.46451536,-1.0773116,0.021790646,-0.090409815,70.57661
-1.0520694,0.70827186,-0.5378301,-0.58089316,-0.8836029,-0.86412126,-1.1131083,0.71915656,-0.5844714,-0.15761717,92.44127
0.306757,0.23053992,0.08575661,0.25920144,-0.9600135,0.87328637,0.16240215,-1.1846908,-0.30399686,-0.08806791,91.383545
-0.93219984,-0.45324552,-0.17152657,-1.165129,1.1826582,-0.53898615,0.57364494,0.84379745,-0.8784854,-0.7321412,88.48288
-0.6443886,0.66027397,-0.040319547,-0.6323018,0.21586406,-0.67379004,0.82001907,-0.6920085,0.68467784,0.8035695,84.91411
-0.98680454,-0.89762324,-0.622444,0.6621994,0.32232803,-0.68514776,0.385418,-0.546346,-0.17004055,1.0354944,73.804245
0.79934853,-0.44952396,-0.14565587,0.48319393,-0.9083351,-0.5370112,0.49349642,0.95578533,-0.11652125,-0.71616787,92.39267
-0.6630015,0.6778369,-0.4578619,-0.87270796,-0.46045902,-1.0191507,-0.4561296,0.80042094,0.5756022,0.99286956,74.89896
0.53591037,-0.3715658,-0.7713987,-0.39270648,0.19216344,0.7682973,-0.13480864,-0.6531549,0.9012185,0.30703568,94.24865
