Vibration_Accel_X,Vibration_Accel_Y,Vibration_Accel_Z,Vibration_Envelope,Shaft_RPM,Motor_Current_PhaseA,Motor_Current_PhaseB,Motor_Current_PhaseC,Motor_Voltage_RMS,Pump_Discharge_Pressure,RUL
0.8480403,1.046344,-0.13574226,-0.39806873,-1.0078508,-0.0866089,-0.3889512,-0.29850635,-0.3821446,0.30203322,11.594588
0.96113944,-0.37624148,0.13795315,0.42482656,-0.61760193,0.13449758,-0.8840701,0.32527244,-1.2619389,0.90841496,6.9027243
0.4161419,-0.94996345,-0.38437322,-0.6030515,-1.2427895,-0.418762,0.6041954,0.20875919,-1.0157299,-0.541383,5.08185
-0.975572,0.5461922,-1.0386645,-1.219647,-0.41575986,0.9174318,-0.10660017,0.8521722,-1.0063369,0.50611115,7.728325
-0.38371497,0.8512941,-0.314513,0.41921967,0.21774745,0.9270997,0.010478556,-0.14066131,-1.1360509,-0.20361826,23.484972
0.5903376,-0.6354241,0.55688703,1.0988866,1.4189335,-0.80843204,-0.44462907,-0.5393263,-0.030545268,-0.03340637,25.707388
-0.8194614,-0.3943479,-1.2157689,0.054242264,-0.4818776,1.0367016,0.3990845,0.48526523,-0.74277806,1.0208173,19.992807
0.22549278,-0.86419094,-1.0182924,0.71654975,0.8513865,0.87897664,-0.29263395,0.56382596,0.8580814,0.6087928,20.133978
0.8965527,0.720014,0.7687593,-0.36292523,0.042266,0.938741,-0.7972903,0.6203081,-0.23181021,-0.77616346,10.826808
-0.6130379,0.64687496,-0.25166467,0.11816679,-0.015628826,0.48397937,1.1189637,-0.09361568,-0.061478402,-1.2027696,15.8028345
