round_id,num_participants,total_samples,avg_client_metrics,global_metrics,round_time
1,5,1020,"{'mse': 693.4562805175781, 'rmse': 24.121506974639296, 'score': 757.7663208007813, 'mae': 20.38094997406006, 'loss': 0.06936797067596048}","{'mse': 970.9254150390625, 'mae': 20.41315460205078, 'rmse': 31.159676106132146, 'score': 49517.796875, 'loss': 0.09712382186204195}",14.536453485488892
2,5,1020,"{'mse': 608.4970504760743, 'rmse': 21.663409309435036, 'score': 291.8627925872803, 'mae': 19.842851829528808, 'loss': 0.06086931104461353}","{'mse': 762.4093017578125, 'mae': 19.27823829650879, 'rmse': 27.61176020752412, 'score': 10954.6796875, 'loss': 0.07626549726559056}",11.043303966522217
3,5,1020,"{'mse': 559.2533332824707, 'rmse': 20.218672207455267, 'score': 338.6097957611084, 'mae': 18.38907995223999, 'loss': 0.05594334977624171}","{'mse': 727.8328247070312, 'mae': 20.138744354248047, 'rmse': 26.978376984300432, 'score': 6662.21142578125, 'loss': 0.07280674190984832}",11.777294158935547
4,5,1020,"{'mse': 563.2060401916503, 'rmse': 20.11607810815002, 'score': 390.6580295562744, 'mae': 18.292525577545167, 'loss': 0.05633874777339254}","{'mse': 744.23583984375, 'mae': 21.004674911499023, 'rmse': 27.280686205514517, 'score': 4877.267578125, 'loss': 0.07444756233029895}",11.203396320343018
5,5,1020,"{'mse': 553.8741165161133, 'rmse': 20.360309193939532, 'score': 356.82066802978517, 'mae': 18.297073078155517, 'loss': 0.05540525718528193}","{'mse': 766.9930419921875, 'mae': 21.766305923461914, 'rmse': 27.69463922841725, 'score': 4159.12744140625, 'loss': 0.07672402265999052}",10.705239534378052
6,5,1020,"{'mse': 528.2149002075196, 'rmse': 19.194181571256358, 'score': 385.6773094177246, 'mae': 17.675431060791016, 'loss': 0.052838505450270926}","{'mse': 746.4472045898438, 'mae': 21.572486877441406, 'rmse': 27.321186002621552, 'score': 3873.6826171875, 'loss': 0.07466877761814329}",10.52580976486206
7,5,1020,"{'mse': 518.104956817627, 'rmse': 19.045538036957247, 'score': 334.63942565917966, 'mae': 17.51447925567627, 'loss': 0.05182718611413649}","{'mse': 737.6474609375, 'mae': 21.710203170776367, 'rmse': 27.15966606822514, 'score': 3654.2255859375, 'loss': 0.0737885128458341}",11.615609169006348
8,5,1020,"{'mse': 517.7196815490722, 'rmse': 18.999423847534466, 'score': 320.4496223449707, 'mae': 17.44569025039673, 'loss': 0.051788642659199004}","{'mse': 720.3555297851562, 'mae': 22.563064575195312, 'rmse': 26.839439818765896, 'score': 3218.31884765625, 'loss': 0.07205877146787114}",11.47303581237793
9,5,1020,"{'mse': 527.3615036010742, 'rmse': 19.065565799306057, 'score': 315.9066612243652, 'mae': 17.639144134521484, 'loss': 0.05275314436180005}","{'mse': 725.48193359375, 'mae': 22.663738250732422, 'rmse': 26.93477183110616, 'score': 3244.88818359375, 'loss': 0.07257156272729239}",11.352134227752686
10,5,1020,"{'mse': 532.5920303344726, 'rmse': 19.239750742717966, 'score': 349.6053806304932, 'mae': 17.731718826293946, 'loss': 0.05327635873291714}","{'mse': 733.6097412109375, 'mae': 22.72095489501953, 'rmse': 27.08523105330537, 'score': 3310.60302734375, 'loss': 0.0733846122192012}",10.759716272354126
11,5,1020,"{'mse': 555.0738372802734, 'rmse': 19.742228194640305, 'score': 430.5198616027832, 'mae': 18.084435558319093, 'loss': 0.055525266530229614}","{'mse': 746.53759765625, 'mae': 22.370973587036133, 'rmse': 27.322840219425395, 'score': 3510.052001953125, 'loss': 0.07467780498994721}",11.156359195709229
12,5,1020,"{'mse': 514.5330078125, 'rmse': 19.003566339721175, 'score': 256.8437168121338, 'mae': 17.611068058013917, 'loss': 0.05146987899937028}","{'mse': 761.22900390625, 'mae': 21.254348754882812, 'rmse': 27.590378828610707, 'score': 3997.92236328125, 'loss': 0.07614742761684788}",10.53641963005066
13,5,1020,"{'mse': 522.9303909301758, 'rmse': 19.260891204947896, 'score': 259.8609230041504, 'mae': 17.671244812011718, 'loss': 0.05230989178446323}","{'mse': 755.7092895507812, 'mae': 21.762542724609375, 'rmse': 27.490167143012812, 'score': 3794.81103515625, 'loss': 0.07559528006447686}",10.03386378288269
14,5,1020,"{'mse': 525.4447868347168, 'rmse': 19.135028751553783, 'score': 253.4703727722168, 'mae': 17.726441860198975, 'loss': 0.05256140803662586}","{'mse': 771.7548828125, 'mae': 21.596506118774414, 'rmse': 27.780476648403642, 'score': 4060.81201171875, 'loss': 0.07720034784740872}",8.862061500549316
15,5,1020,"{'mse': 527.2189414978027, 'rmse': 19.075175394224225, 'score': 254.35662384033202, 'mae': 17.544324779510497, 'loss': 0.05273888017206142}","{'mse': 759.7593994140625, 'mae': 21.906166076660156, 'rmse': 27.56373340848555, 'score': 3828.45166015625, 'loss': 0.07600041463971138}",9.48661470413208
